,title,singer,id,Genre,Lyric
12138,Mất Anh Rồi (cover),Như Việt,135511.0,"Việt Nam, V-Pop","Vội xa em lúc hiện tại 
 Chắc bên anh có một ai 
 Cuộc tình dở dang anh đi vội vàng 
 Đắng cay em mang đêm về lang thang 
 Càng giữ càng mất cánh tay buông rời 
 Lần nào cũng thế xót xa ê chề 
 Mất anh rồi em sống ra sao 
 Mất anh rồi em sống thế nào 
 Những yêu thương chẳng còn xuyến xao 
 Nỗi đau này như ngàn vết dao 
 Ai sẽ cùng em đến tương lai 
 Ai sẽ cùng xây đắp hiện tại 
 Yêu sâu đậm rồi cũng nhạt phai 
 Xa anh rồi tim vỡ làm hai 
 Cuộc tình dở dang anh đi vội vàng 
 Đắng cay em mang đêm về lang thang 
 Càng giữ càng mất cánh tay buông rời 
 Lần nào cũng thế xót xa ê chề 
 Mất anh rồi em sống ra sao 
 Mất anh rồi em sống thế nào 
 Những yêu thương chẳng còn xuyến xao 
 Nỗi đau này như ngàn vết dao 
 Ai sẽ cùng em đến tương lai 
 Ai sẽ cùng xây đắp hiện tại 
 Yêu sâu đậm rồi cũng nhạt phai 
 Xa anh rồi tim vỡ làm hai 
 Mất anh rồi em sống ra sao 
 Mất anh rồi em sống thế nào 
 Những yêu thương chẳng còn xuyến xao 
 Nỗi đau này như ngàn vết dao 
 Ai sẽ cùng em đến tương lai 
 Ai sẽ cùng xây đắp hiện tại 
 Yêu sâu đậm rồi cũng nhạt phai 
 Xa anh rồi tim vỡ làm hai"
12139,Never Enough,Loren Allred,135513.0,"Âu Mỹ, Pop",
12140,Như Một Kẻ Ngốc (Tone Nữ),Akira Phan,135514.0,,
12141,Nắng Thủy Tinh,"Avin Lu, Suni Hạ Linh",135516.0,"Việt Nam, Nhạc Trữ Tình","Màu nắng hay là màu mắt em 
 Mùa thu mưa bay cho tay mềm 
 Chiều nghiêng nghiêng bóng 
 Nắng qua thềm 
 Rồi có hôm nào mây bay lên 
 Lùa nắng cho buồn vào tóc em 
 Bàn tay xanh xao đón ưu phiền 
 Ngày xưa sao lá thu không vàng 
 Và nắng chưa vào trong mắt em 
 Em qua công viên 
 Bước chân âm thầm 
 Ngoài kia gió mây về ngàn 
 Cỏ cây chợt lên màu nắng 
 Em qua công viên 
 Mắt em ngây tròn 
 Lung linh nắng thủy tinh vàng 
 Chợt hồn buồn dâng mênh mang 
 Chiều đã đi vào vườn mắt em 
 Mùa thu qua tay đã bao lần 
 Ngàn cây thắp nến lên hai hàng 
 Để nắng đi vào trong mắt em 
 Màu nắng hay là màu mắt em 
 Mùa thu mưa bay cho tay mềm 
 Chiều nghiêng nghiêng bóng 
 Nắng qua thềm 
 Rồi có hôm nào mây bay lên 
 Lùa nắng cho buồn vào tóc em 
 Bàn tay xanh xao đón ưu phiền 
 Ngày xưa sao lá thu không vàng 
 Và nắng chưa vào trong mắt em 
 Em qua công viên 
 Bước chân âm thầm 
 Ngoài kia gió mây về ngàn 
 Cỏ cây chợt lên màu nắng 
 Em qua công viên 
 Mắt em ngây tròn 
 Lung linh nắng thủy tinh vàng 
 Chợt hồn buồn dâng mênh mang 
 Chiều đã đi vào vườn mắt em 
 Mùa thu qua tay đã bao lần 
 Hàng cây thắp nến lên hai hàng 
 Để nắng đi vào trong mắt em 
 Hàng cây thắp nến lên hai hàng 
 Để nắng đi vào trong mắt em"
12142,One Last Time,Ariana Grande,135517.0,"Âu Mỹ, Electronic / Dance","Don't we feel it"", 'Letting you in', ""I'm in the room we used to sleep"", ""Know it's my fault we don't speak"", ""Don't we feel it"", 'Letting you in', ""It's like you still lay with me"", 'Whisper all the things 
 That make me go mad 
 Make me go mad 
 And I might be drunk 
 But I just stay so tempted', ""Wondering what you're doing tonight"", 'If we could do it just one last time 
 Nobody does it like you do 
 Take me back take me back oh I 
 I need to forget ya 
 Would you do it just one last time 
 Just for one night 
 No one has to know 
 I can’t get it off my mind 
 I promise to let go', ""I know this night's so messed up"", ""Thinking 'bout how we left us"", ""But I can't help it I can't help it"", ""Imagine there's something"", 'To catch your fall 
 Did it all for nothing', ""I can't help it yeah I can't help it"", ""It's like you still lay with me"", 'Whisper all the things 
 That make me go mad 
 Make me go mad 
 And i might be drunk 
 But i just stay so tempted', ""Wondering what you're doing tonight"", 'If we could do it just one last time 
 Nobody does it like you do 
 Take me back take me back oh I 
 I need to forget ya 
 Would you do it just one last time 
 Just for one night 
 No one has to know 
 I can’t get it off my mind 
 I promise to let go 
 I need to forget ya 
 If we could do it just one last time 
 Take me back take me back oh I 
 If we could do it just one last time 
 Just for one night 
 No one has to know', ""I can't get it off my mind"", 'I promise to let go 
 If we could do it just one last time 
 Nobody does it like you do 
 Take me back take me back oh I 
 I need to forget ya 
 Would you do it just one last time 
 Just for one night 
 No one has to know 
 I can’t get it off my mind 
 I promise to let go 
 Take me back take me back oh I 
 If we could do it just one last time"
12143,Shallow,"Lady Gaga, Bradley Cooper",135519.0,Âu Mỹ,
12144,Strawberries & Cigarettes,Troye Sivan,135520.0,"Âu Mỹ, Nhạc Phim","Remember when we first met 
 You said light my cigarette 
 So I lied to my mom and dad 
 And jumped the fence and I ran 
 But we couldn’t go very far', ""'Cause you locked"", 'Your keys in your car 
 So you sat and stared at my lips 
 And I could already feel your kiss 
 Long nights daydreams 
 Sugar and smoke rings 
 I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like you 
 Headlights on me 
 Racing to sixty I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like 
 Blue eyes black jeans 
 Lighters and candy 
 I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like you 
 Remember when you taught me fate 
 Said it all be worth the wait 
 Like that night in the back of the cab 
 When your fingers 
 Walked in my hand 
 Next day nothing on my phone 
 But I can still 
 Smell you on my clothes 
 Always hoping things would change 
 But we went 
 Right back to your games 
 Long nights daydreams 
 Sugar and smoke rings 
 I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like you 
 Headlights on me 
 Racing to sixty I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like 
 Blue eyes black jeans 
 Lighters and candy 
 I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like you 
 And even if I run away 
 And give my heart a holiday 
 Still strawberries and cigarettes 
 Always taste like you 
 You always leave me wanting more 
 I can’t shake my hunger for 
 Strawberries and cigarettes 
 Always taste like you 
 Yeah they always taste like you 
 You 
 Long nights daydreams 
 With that sugar and smoke rings 
 Always taste like you 
 Headlights on me 
 Racing to sixty I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like 
 Blue eyes black jeans 
 Lighters and candy 
 I’ve been a fool 
 But strawberries and cigarettes 
 Always taste like you"
12145,Sương Lạnh Chiều Đông,Đan Nguyên,135523.0,"Việt Nam, Nhạc Trữ Tình","Chiều xưa phai nắng 
 Dấu mòn đưa lối 
 Soi bóng chung đôi 
 Mà hóa chia phôi 
 Sương lạnh chiều đông 
 Vương tiếng thở 
 Của người nguyện đợi chờ 
 Nghẹn ngào giờ tiễn đưa 
 Chợt thấy lòng như 
 Rớt giữa hư vô 
 Đưa tiễn nhau đi 
 Ngại những đêm mưa 
 Đêm chập chờn buông 
 Lên giấc mộng 
 Em vẫn thường gặp anh 
 Như lúc xưa nơi sân trường 
 Anh lên đường trăm hướng 
 Em ở lại sầu thương 
 Buốt giá câu thơ 
 Những lúc đêm mơ 
 Ướp cánh hoa xưa 
 Vẫn nhớ hương chờ 
 Mà đắm trong nghẹn ngào 
 Mười năm mơ kết mây 
 Thành hoa trắng 
 Hoa vỡ mây tan 
 Tàn giấc mơ hoa 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn trọn mơ 
 Anh lên đường trăm hướng 
 Em ở lại sầu thương 
 Buốt giá câu thơ 
 Những lúc đêm mơ 
 Ướp cánh hoa xưa 
 Vẫn nhớ hương chờ 
 Mà đắm trong nghẹn ngào 
 Mười năm mơ kết mây 
 Thành hoa trắng 
 Hoa vỡ mây tan 
 Tàn giấc mơ hoa 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn trọn mơ 
 Anh hãy về đây 
 Trong giá lạnh 
 Vẫn nghe nồng hơi ấm 
 Của tâm hồn 
 Trọn mơ"
12146,The Edge Of Glory,Lady Gaga,135524.0,"Âu Mỹ, Pop","Tonight, yeah, baby 
 Tonight, yeah, baby 
 But I got a reason 
 That you-hoo should take me home tonight 
 I need a man', ""That thinks it right when it's so wrong"", 'Tonight, yeah, baby 
 Tonight, yeah, baby', ""Right on the limit's"", 'Where we know we both belong, tonight', ""It's hot to feel the rush"", 'To brush the dangerous', ""I'm gonna run right to"", 'To the edge with you 
 Where we can both fall far in love', ""I'm on the edge of glory"", ""And I'm hangin' on a moment of truth"", 'Out on the edge of glory', ""And I'm hangin' on a moment with you"", ""I'm on the edge"", 'The edge, the edge, the edge 
 The edge, the edge, the edge', ""I'm on the edge of glory"", ""And I'm hangin' on a moment with you"", ""I'm on the edge with you"", 'Another shot, before we kiss the other side 
 Tonight, yeah, baby 
 Tonight, yeah, baby', ""I'm on the edge of something"", 'Final we call life, tonight 
 Alright, alright 
 Put on your shades', ""'cause I'll be dancing in the flames"", 'Tonight, yeah, baby 
 Tonight, yeah, baby', ""It isn't hell if everybody knows my name"", 'Tonight 
 Alright, alright', ""It's hot to feel the rush"", 'To brush the dangerous', ""I'm gonna run right to"", 'To the edge with you 
 Where we can both fall far in love', ""I'm on the edge of glory"", ""And I'm hangin' on a moment of truth"", 'Out on the edge of glory', ""And I'm hangin' on a moment with you"", ""I'm on the edge"", 'The edge, the edge, the edge 
 The edge, the edge, the edge', ""I'm on the edge of glory"", ""And I'm hangin' on a moment with you"", ""I'm on the edge with you"", ""I'm on the edge with you"", ""I'm on the edge with you"", ""I'm on the edge of glory"", ""And I'm hangin' on a moment of truth"", 'Out on the edge of glory', ""And I'm hangin' on a moment with you"", ""I'm on the edge"", 'The edge, the edge, the edge 
 The edge, the edge, the edge', ""I'm on the edge of glory"", ""And I'm hangin' on a moment with you"", ""I'm on the edge with you"", 'With you, with you, with you, with you', ""I'm on the edge with you"", 'With you, with you, with you, with you', ""I'm on the edge with you"", 'With you, with you, with you, with you', ""I'm on the edge with you"", 'With you, with you, with you, with you"
12147,Trouble Is A Friend,Lenka,135528.0,"Âu Mỹ, Pop","Trouble he will find you 
 No matter where you go, oh oh', ""No matter if you're fast"", ""No matter if you're slow, oh oh"", 'The eye of the storm 
 or the cry in the morn, oh oh', ""You're fine for a while"", 'but you start to lose control...', ""He's there in the dark"", ""He's there in my heart"", 'He waits in the wings', ""He's gotta play a part"", 'Trouble is a friend 
 Yeah trouble is a friend of mine 
 Ah ooh... 
 Trouble is a friend 
 but trouble is a foe, oh oh 
 And no matter what I feed him 
 he always seems to grow, oh oh 
 He sees what I see and he knows 
 what I know, oh oh', ""So don't forget"", 'as you ease on down the road', ""He's there in the dark"", ""He's there in my heart"", 'He waits in the wings', ""He's gotta play a part"", 'Trouble is a friend 
 Yeah trouble is a friend of mine 
 oh oh', ""So don't be alarmed"", 'if he takes you by the arm', ""I won't let him win"", ""but I'm a sucker for his charm"", 'Trouble is a friend 
 Yeah trouble is a friend of mine 
 Ah ooh... 
 How I hate the way he makes me feel 
 And how I try to make him leave 
 I try, oh oh I try', ""But he's there in the dark"", ""He's there in my heart"", 'He waits in the wings', ""He's gotta play a part"", 'Trouble is a friend 
 Yeah trouble is a friend of mine 
 oh oh', ""So don't be alarmed"", 'if he takes you by the arm', ""I won't let him win"", ""but I'm a sucker for his charm"", 'Trouble is a friend 
 Yeah trouble is a friend of mine 
 ah ooh 
 ah... ooh..."
12148,Tình Như Lá Bay Xa (LOFI MUSIC) Tone Nam,"Vicky Nhung, Long Rex",135529.0,,
12149,Tình Như Lá Bay Xa (LOFI MUSIC) Tone Nữ,"Vicky Nhung, Long Rex",135530.0,,
12150,Tạ Từ Trong Đêm,Đăng Anh,135531.0,"Việt Nam, Nhạc Trữ Tình","Khi thương mến nhau 
 Hai người hai ngả tránh sao bồi hồi 
 Hẹn gặp nhau đây đêm thâu lá đổ 
 Sương giăng kín mờ nhạt nhòa ước mơ 
 Đã gặp nhau rổi sao em không nói 
 Sao em cúi mặt 
 Em giận hờn anh chăng 
 Anh hiểu rồi đây 
 Khuya nay em về trăng gầy soi bóng 
 Nên em cúi mặt ngăn dòng nước mắt 
 Phút giây tạ từ 
 Đừng buồn nghe em 
 Tuy anh biết rằng 
 Xa xôi vẫn làm tâm tư héo mòn 
 Nếu em đã trọn thương anh xa vắng 
 Xin em chớ buồn 
 Cho nặng lòng chinh nhân 
 Nếu em biết rằng 
 Có những người đi đấu tranh chưa về 
 Mang lời thề lên miền sơn khê 
 Từng đêm địa đầu hun hút gió sâu 
 Nếu em đã gặp 
 Mẹ già thương con khấn nguyện đêm rằm 
 Vợ yêu chồng đan áo lạnh từng đông 
 Thì duyên tình mình có nghĩa gì không 
 Anh hỏi một câu 
 Khi trong đêm dài vọng về tiếng súng 
 Sao em cúi mặt không nhìn đôi mắt 
 Hứa thương anh trọn đời 
 Đầu đường chia phôi anh không nói gì 
 Nên phong kín lời hẹn tình lứa đôi 
 Nếu anh có về khi tàn chinh chiến 
 Xin em cúi mặt 
 Dấu lệ mừng nghe em 
 Nếu em biết rằng 
 Có những người đi đấu tranh chưa về 
 Mang lời thề lên miền sơn khê 
 Từng đêm địa đầu hun hút gió sâu 
 Nếu em đã gặp 
 Mẹ già thương con khấn nguyện đêm rằm 
 Vợ yêu chồng đan áo lạnh từng đông 
 Thì duyên tình mình có nghĩa gì không 
 Anh hỏi một câu 
 Khi trong đêm dài vọng về tiếng súng 
 Sao em cúi mặt không nhìn đôi mắt 
 Hứa thương anh trọn đời 
 Đầu đường chia phôi anh không nói gì 
 Nên phong kín lời hẹn tình lứa đôi 
 Nếu anh có về khi tàn chinh chiến 
 Xin em cúi mặt 
 Dấu lệ mừng nghe em 
 Nếu anh có về khi tàn chinh chiến 
 Xin em cúi mặt 
 Dấu lệ mừng nghe em 
 Nếu anh có về khi tàn chinh chiến 
 Xin em cúi mặt 
 Dấu lệ mừng nghe em"
12151,Về Dưới Mái Nhà,Tuấn Vũ,135534.0,"Việt Nam, Nhạc Trữ Tình","Người ơi 
 Mau về đây 
 Về bên bếp hồng 
 Tay cầm tay 
 Cười lên chan chứa 
 Tươi làn môi 
 Nhớ phút vui đêm.. này. 
 Về đây 
 Cho lòng say 
 Tìm nhau mấy mùa 
 Hoa còn tươi 
 Tìm khi nắng lên 
 Hay chiều rơi 
 Ta nhắn nhau về... đây. 
 Nhà ai 
 Trong chiều nay 
 Lửa đêm đốt hồng 
 Vai kề vai 
 Và nghe câu hát 
 Yêu đời ai 
 Hát mãi 
 Sao không nguôi. 
 Vì thương yêu đời nhau 
 Vì thương những chiều 
 Mưa về đâu 
 Vì thương những người 
 Không tình yêu 
 Nên nhớ đi tìm nhau. 
 Ơi... 
 Bếp hồng sưởi ấm, 
 Bếp hồng tươi 
 Tiếng ca xa vời 
 Hát mừng, 
 Mừng lửa hồng tươi 
 Ơi... 
 Nỗi lòng chan chứa, 
 Hỡi người ơi 
 Biết bao cho vừa ... 
 Tình thương 
 Của bếp hồng soi. 
 Chiều nay 
 Mưa còn rơi 
 Chiều nay bếp hồng 
 Đang còn say 
 Chiều nay vui sống 
 Trong tình yêu 
 Nhớ phút vui 
 Khôn.... nguôi. 
 Nào ai 
 Xa ngàn nơi 
 Kìa bao mái nhà 
 Đang chờ ai 
 Kìa bao bếp hồng 
 Đang còn tươi 
 Thương nhớ 
 Lên đầy vơi.... 
 Ơi... 
 Bếp hồng sưởi ấm 
 Bếp hồng tươi 
 Tiếng ca xa vời 
 Hát mừng, 
 Mừng lửa hồng tươi 
 Ơi... 
 Nỗi lòng chan chứa, 
 Hỡi người ơi 
 Biết sao cho vừa ... 
 Tình thương 
 Của bếp hồng soi. 
 Chiều nay 
 Mưa còn rơi 
 Chiều nay bếp hồng 
 Đang còn say 
 Chiều nay vui sống 
 Trong tình yêu 
 Nhớ phút vui 
 Không.. nguôi. 
 Nào ai 
 Xa ngàn nơi 
 Kìa bao mái nhà 
 Đang chờ ai 
 Kìa bao bếp hồng 
 Đang còn tươi 
 Thương nhớ 
 Lên đầy vơi.... 
 Nào ai 
 Xa ngàn nơi 
 Kìa bao mái nhà 
 Đang chờ ai 
 Kìa bao bếp hồng 
 Đang còn tươi 
 Thương nhớ 
 Lên đầy...vơi...."
12152,Woman In Love,Barbra Streisand,135536.0,"Âu Mỹ, Pop","Life is a moment in space 
 When the dream is gone', ""It's a lonelier place"", 'I kiss the morning goodbye 
 But down inside you know 
 We never know why 
 The road is narrow and long 
 When eyes meet eyes 
 And the feeling is strong 
 I turn away from the wall 
 I stumble and fall 
 But I give you it all 
 I am a woman in love', ""And I'd do anything"", 'To get you into my world 
 And hold you within', ""It's a right I defend"", 'Over and over again 
 What do I do? 
 With you eternally mine 
 In love there is 
 No measure of time 
 They planned it all at the start 
 That you and I, live 
 In each others heart 
 We may be oceans away 
 You feel my love 
 I hear what you say 
 No truth is ever a lie 
 I stumble and fall 
 But I give you it all 
 I am a woman in love', ""And I'd do anything"", 'To get you into my world 
 And hold you within', ""It's a right I defend"", 'Over and over again 
 What do I do? 
 I am a woman in love', ""And I'm talkin' to you"", 'You know how you feel 
 What a woman can do', ""It's a right I defend"", 'Over and over again 
 I am a woman in love', ""And I'd do anything"", 'To get you into my world 
 And hold you within', ""It's a right I defend"", 'Over and over again"
12153,Xin Lỗi Người Em Yêu,Châu Hải My,135537.0,Việt Nam,
12154,Út Ơi 2 (Hoa Tím Nặng Tình),Sino Ft Bảo Jen & Jombie,135541.0,,
12155,ĐÁM CƯỚI NHA,HỒNG THANH & DJ MIE,135542.0,"Việt Nam, V-Pop","Làng trên xóm dưới 
 Đẹp đôi thì có ai bằng 
 Yêu nhau mấy mùa trăng 
 Đến lúc tính chuyện trăm năm 
 Chuyến này anh quyết 
 Cưới em liền tay này 
 Đàn trai bưng mâm 
 Theo sau anh rước em về làm dâu 
 Ngày lành trong tháng 
 Trầu cau anh sang 
 Đeo tay em chiếc nhẫn vàng 
 Ôi vui quá xá em ơi 
 Rượu mừng mình nâng ly 
 Ngày mình vu quy 
 Thì ngần ngại chi 1 2 3 dzô hết ly 
 Kiệu vàng ngựa ô 
 Anh khớp đón em về dinh rồi 
 Pháo bay nổ tung trời 
 Cùng xây giấc mơ tuyệt vời 
 Năm sau anh quyết mà làm giàu 
 Cho em sung sướng đến mai sau 
 Đừng lo sóng gió 
 Chuyện gì mà khó thì cứ để đó anh lo 
 Trai tài gái sắc 
 Đôi mình là nhất 
 Làng trên xóm dưới 
 Đẹp đôi thì có ai bằng 
 Yêu nhau mấy mùa trăng 
 Đến lúc tính chuyện trăm năm 
 Chuyến này anh quyết 
 Cưới em liền tay này 
 Đàn trai bưng mâm 
 Theo sau anh rước em về làm dâu 
 Ngày lành trong tháng 
 Trầu cau anh sang 
 Đeo tay em chiếc nhẫn vàng 
 Ôi vui quá xá em ơi 
 Rượu mừng mình nâng ly 
 Ngày mình vu quy 
 Thì ngần ngại chi 1 2 3 dzô hết luôn 
 Kiệu vàng ngựa ô 
 Anh khớp đón em về dinh rồi 
 Pháo bay nổ tung trời 
 Cùng xây giấc mơ tuyệt vời 
 Năm sau anh quyết mà làm giàu 
 Cho em sung sướng đến mai sau 
 Đừng lo sóng gió 
 Chuyện gì mà khó thì cứ để đó anh lo 
 Ví dầu cầu ván mà đóng đinh 
 Anh sẽ đưa em đi về dinh 
 Anh hứa yêu em mãi chung tình 
 Cầu tre gập ghềnh mà khó đi 
 Anh sẽ dắt tay em dìu đi 
 Ôi vui quá xá từ đây hết ế 
 Kiệu vàng ngựa ô 
 Anh khớp đón em về dinh rồi 
 Pháo bay nổ tung trời 
 Cùng xây giấc mơ tuyệt vời 
 Năm sau anh quyết mà làm giàu 
 Cho em sung sướng đến mai sau 
 Đừng lo sóng gió 
 Chuyện gì mà khó thì cứ để đó anh lo"
12156,Đường Tình Rẽ Lối,"Yuni Boo,Phát Hồ",135543.0,"Việt Nam, V-Pop","Trên tay nắm lấy thiệp hồng 
 Mà như dao cứa trong lòng 
 Ngồi buồn nơi đây đâu có ai hay 
 Và nỗi nhớ cứ thế lớn thêm từng ngày 
 Nhấp chén đắng mà lòng quặn đau 
 Tim khô héo khóe mi lệ trào 
 Hồ Cầm bên tai nước mắt ướt vai 
 Đường nhân duyên giờ đây 
 Rẽ lối chia làm hai 
 Một ngày nào đó em sẽ nhận ra 
 Không có ai yêu em thật tâm 
 Chẳng qua họ chỉ đùa vui 
 Làm em lầm mơ là êm ấm 
 Bên trong lòng anh là cơn mưa 
 Ngoài tay ôm kí ức dư thừa 
 Một lần sau cuối 
 Để nước mắt rơi rồi quên hết 
 Anh không là Ngưu Lang 
 Em cũng không là Chức Nữ 
 Nhưng sao đôi mình vẫn phải chia cách 
 Duyên tình ngăn trở bị bức tử 
 Phận éo le, bạc mệnh 
 Hồng trần chẳng đáng để nương thân 
 Vì người mình thương cũng không thể giữ 
 Theo từng bước chân còn vương vấn 
 Ôm nỗi khổ không cam 
 Lòng mơ thành chuyện trăm năm 
 Trời cao có mắt cũng không thể thấu 
 Kết cục đã chết trong thâm tâm 
 Còn đâu đôi uyên ương về chốn bồng lai 
 Mộng hình dung dần mờ nhân ảnh 
 Chỉ còn lại cánh hồng phai 
 Bộc bạch cùng với trời 
 Thổ lộ với ánh trăng 
 Ai nguyện thề suốt đời 
 Dù có muôn ngàn vách ngăn 
 Hữu duyên có là phúc 
 Nhưng mà họa từ trong tâm 
 Vì dòng sông thì cũng có khúc 
 Lòng đổi dạ bặt vô âm 
 Tín vật mà ngày nào người gửi trao tôi 
 Giờ ngày vui chén rượu 
 Người cùng ai đó giao bôi 
 Thì cũng đành thôi 
 Chúc hai người thành đôi 
 Tình chàng và ý thiếp 
 Không bao giờ phai phôi 
 Mây đen kéo theo ưu sầu 
 Bồi hồi chẳng nói ra câu 
 Trên tay nắm lấy thiệp hồng 
 Mà như dao cứa trong lòng 
 Ngồi buồn nơi đây đâu có ai hay 
 Và nỗi nhớ cứ thế lớn thêm từng ngày 
 Nhấp chén đắng mà lòng quặn đau 
 Tim khô héo khóe mi lệ trào 
 Hồ Cầm bên tai nước mắt ướt vai 
 Đường nhân duyên giờ đây 
 Rẽ lối chia làm hai 
 Một ngày nào đó em sẽ nhận ra 
 Không có ai yêu em thật tâm 
 Chẳng qua họ chỉ đùa vui 
 Làm em lầm mơ là êm ấm 
 Bên trong lòng anh là cơn mưa 
 Ngoài tay ôm kí ức dư thừa 
 Một lần sau cuối 
 Để nước mắt rơi rồi quên hết 
 Mang theo ưu sầu 
 Đêm về lòng khắc khoải 
 Một lần đớn đau 
 Suốt cả đời còn nhắc mãi 
 Liệu lần gặp sau 
 Chúng ta có còn hỷ hoan 
 Hỏi thăm nhau mấy lời 
 Hay là ta vẫn sẽ chỉ ngang 
 Qua lối nhỏ 
 Nhưng mà không vào nhà em 
 Ta chối bỏ 
 Xem như lạ nhưng mà quen 
 Tấm chân tình này 
 Quả thật khó khăn trình bày 
 Đành ôm trọn lấy hết tâm tư 
 Và nuôi dưỡng nó nên hình hài 
 Đường về nhà hôm nay chợt sao xa quá 
 Chẳng còn em kế bên cô liêu mình ta 
 Cánh hoa rơi tựa như 
 Tình duyên trái ngang 
 Theo mây ngút ngàn 
 Đành gạt bỏ đi hết bóng hình 
 Quên hết chân tình 
 Từ xa tiếc thương ngoái nhìn 
 Nhìn em đi theo ai 
 Anh sẽ chúc em được bình yên"
12157,Another Day of Sun,La La Land,135545.0,"Hòa Tấu, Classical",
12158,Aoi Usagi (碧いうさぎ),Noriko Sakai,135546.0,,
12159,As Long As You Love Me (Acoustic),Justin Bieber,135547.0,"Âu Mỹ, Pop","Seven billion people 
 In the world tryna fit in 
 Keep it together 
 Smile on your face 
 Even though your heart is frowning 
 But hey now you know girl', ""We both know it's a cruel world"", 'But I will take my chances 
 As long as you love me 
 We could be starving 
 We could be homeless 
 We could be broke 
 As long as you love me', ""I'll be your platinum"", ""I'll be your silver"", ""I'll be your gold"", 'As long as you love me 
 As long as you love me 
 Love me', ""I'll be your soldier"", 'Fighting every second of the day 
 For your dreams girl', ""I'll be your Hova"", ""You could be my Destiny's Child"", 'On the scene girl', ""Don't stress and don't cry"", ""Oh we don't need"", 'No wings to fly 
 Just take my hand 
 As long as you love me 
 We could be starving 
 We could be homeless 
 We could be broke 
 As long as you love me', ""I'll be your platinum"", ""I'll be your silver"", ""I'll be your gold"", 'As long as you love me 
 Love me 
 As long as you love me', ""I don't know if this makes sense"", ""But you're my hallelujah"", 'Give me a time and place', ""I'll rendezvous it I'll fly to it"", ""I'll beat you there"", 'Girl you know 
 I got you 
 Us trust a couple things', ""I can't spell without you"", 'Now we on top of the world', ""'cause that's just how we do"", ""Used to tell me sky's the limit"", ""Now the sky's our point of view"", 'Man we stepping out 
 Like oh God 
 Cameras point and shoot 
 Ask me', ""What's my best side"", 'I stand back and 
 Point at you you you 
 The one that I argue with 
 Feel like I need a new girl 
 To be bothered with', ""But the grass ain't always"", 'Greener on the other side', ""It's green where you water it"", 'So I know 
 We got issues baby 
 True true true', ""But I'd rather"", 'Work on this with you 
 Than to go ahead and 
 Start with someone new 
 As long as you love me 
 We could be starving 
 We could be homeless 
 We could be broke 
 As long as you love me', ""I'll be your platinum"", ""I'll be your silver"", ""I'll be your gold"", 'As long as you love me 
 As long as you love me 
 As long as you love me 
 You love me you love me 
 As long as you love me 
 You love me you love me 
 As long as you love me"
12160,As Long As You Love Me,Justin Bieber,135548.0,"Âu Mỹ, Pop","As long as you love me 
 Although loneliness has always been 
 A friend of mine', ""I'm leaving my life"", 'In your hands', ""People say I'm crazy"", 'And that I am blind 
 Risking it all in a glance 
 How you got me 
 Blind is still a mystery', ""I can't get you out of my head"", ""Don't care what is written"", 'In you history', ""As long as you're here"", 'With me', ""I don't care who you are"", ""Where you're from"", 'What you did 
 As long as you love me 
 Who you are', ""Where you're from"", ""Don't care what you did"", 'As long as you love me 
 Every little thing that you have 
 Said and done', ""Feels like it's deep within me"", ""Doesn't really matter"", ""If you're on the run"", ""It seems like we're meant"", 'To be', ""I don't care who you are"", ""Where you're from"", 'What you did 
 As long as you love me 
 Who you are', ""Where you're from"", ""Don't care what you did"", 'As long as you love me 
 As long as you love me 
 As long as you love me', ""I've tried to hide it so"", 'That no one knows 
 But I guess it shows 
 When you look in to my eyes 
 What you did', ""And where you're comin from"", 'As long as you love me, baby.', ""I don't care who you are"", ""Where you're from"", 'What you did 
 As long as you love me 
 Who you are', ""Where you're from"", ""Don't care what you did"", 'As long as you love me 
 Who you are', ""Where you're from"", 'What you did 
 As long as you love me 
 Who you are', ""Where you're from"", 'As long as you love me 
 Who you are 
 As long as you love me 
 What you did', ""I Don't Care"", 'As long as you love"
