,id,title,singer,Genre,Lyric
277,100838,Biết Phải Làm Sao,Tuấn Ngọc,,
278,100840,Biết Đến Bao Giờ & Đêm Dài Chiến Tuyến,Phương Hồng Quế,,
279,100844,Biển Đau,Tâm Đoan,,
280,100845,Biệt Khúc Cho Tình Nhân,Thanh Lan,,
281,100846,Buồn,Anh Thư,,
282,100847,Buồn,Kenny Thái,,
283,100848,Buồn,Khang Vệt,,
284,100849,Buồn,Kim Anh,,
285,100850,Buồn,Lê Trí,,
286,100851,Buồn,Mạnh Quỳnh,,
287,100853,Buồn,Thiên Kim,,
288,100857,Buồn Chi Em,Trường Vũ,,
289,100858,Buồn Con Sao Sậu,Duy Trường,,
290,100859,Buồn Con Sao Sậu,Quốc Đại,,
291,100861,Buồn Của Anh (Remix),La Hoàng Phúc,,
292,100862,Buồn Của Anh (Remix),Vương Bảo Nam,,
293,100864,Buồn Của Em,Trương Linh Đan,,
294,100865,Buồn Của Em,Wendy Thảo,,
295,100867,Buồn Giăng Lối Đêm,Tú Quyên,,
296,100871,Buồn Không Em,Thanh Tuyền,,
297,100875,Buồn Mà Chi Em,Mỹ Huyền,,
298,100876,Buồn Mà Chi Em,Phương Mai,,
299,100877,Buồn Mà Chi Em,Trường Vũ,,
300,100878,Buồn Mãi Quanh Ta,Thái Hiền,,
301,100879,Buồn Mình Em,Cẩm Ly & Đan Trường,,
302,100881,Buồn Như Lá Rừng,Phương Thanh,,
303,100883,Buồn Trong Kỷ Niệm,Hà My,,
304,100884,Buồn Trong Kỷ Niệm,Hồ Hoàng Yến,,
305,100886,Buồn Trong Kỷ Niệm,Trường Vũ,,
306,100889,Buồn Trong Đêm Mưa,Ngọc Thúy,,
307,100891,Buồn Tàn Thu,Lê Thủy,,
308,100895,Buồn Tả Tơi,Ngô Quốc Linh & Quách Sỹ Phú,,
309,100897,Buồn Vào Đêm,Hương Lan,,
310,100899,Buồn Vào Đêm,Tuấn Vũ,,
311,100900,Buôn Bấc Buôn Dầu,Đức Hiền,,
312,100901,Buông,Bùi Anh Tuấn,,
313,100902,Buồn Vương Màu Áo,Lưu Hồng,,
314,100907,Buồn Ơi Chào Mi,Đinh Ngọc,,
315,100909,Buồn Ơi Ngủ Yên,Tuấn Khanh,,
316,100910,Buồn Ơi Ta Xin Chào Mi,Thái Châu,,
317,100911,Buồn Ơi Xin Cho Quên,Nguyễn Hưng & Ái Vân,,
318,100921,Bà Rằng Bà Rí,Phi Nhung,,
319,100922,Bà Rằng Bà Rí,Thanh Lan,,
